id,first_name,last_name,email,phone
CUSTOMER_000000001,Nikhil,Verma,nikhil.verma.CUSTOMER_000000001@shopsphere.example,9810716600
CUSTOMER_000000002,Vihaan,Jain,vihaan.jain.CUSTOMER_000000002@shopsphere.example,9230384494
CUSTOMER_000000003,Ananya,Pillai,ananya.pillai.CUSTOMER_000000003@shopsphere.example,9467001270
CUSTOMER_000000004,Pooja,Bansal,pooja.bansal.CUSTOMER_000000004@shopsphere.example,9668127746
CUSTOMER_000000005,Karan,Joshi,karan.joshi.CUSTOMER_000000005@shopsphere.example,9872098922
CUSTOMER_000000006,Isha,Saxena,isha.saxena.CUSTOMER_000000006@shopsphere.example,9946121770
CUSTOMER_000000007,Diya,Sharma,diya.sharma.CUSTOMER_000000007@shopsphere.example,9749443936
CUSTOMER_000000008,Rohan,Menon,rohan.menon.CUSTOMER_000000008@shopsphere.example,9627564840
CUSTOMER_000000009,Nisha,Jain,nisha.jain.CUSTOMER_000000009@shopsphere.example,9353901842
CUSTOMER_000000010,Ishaan,Pillai,ishaan.pillai.CUSTOMER_000000010@shopsphere.example,9636600505
CUSTOMER_000000011,Priya,Mehta,priya.mehta.CUSTOMER_000000011@shopsphere.example,9499787002
CUSTOMER_000000012,Meera,Nair,meera.nair.CUSTOMER_000000012@shopsphere.example,9626903271
CUSTOMER_000000013,Simran,Rao,simran.rao.CUSTOMER_000000013@shopsphere.example,9179099662
CUSTOMER_000000014,Yash,Menon,yash.menon.CUSTOMER_000000014@shopsphere.example,9612935700
CUSTOMER_000000015,Shreya,Reddy,shreya.reddy.CUSTOMER_000000015@shopsphere.example,9934972236
CUSTOMER_000000016,Ankit,Chauhan,ankit.chauhan.CUSTOMER_000000016@shopsphere.example,9556707303
CUSTOMER_000000017,Simran,Thakur,simran.thakur.CUSTOMER_000000017@shopsphere.example,9473626716
CUSTOMER_000000018,Neha,Sen,neha.sen.CUSTOMER_000000018@shopsphere.example,9982066885
CUSTOMER_000000019,Akash,Sen,akash.sen.CUSTOMER_000000019@shopsphere.example,9812863691
CUSTOMER_000000020,Riya,Mukherjee,riya.mukherjee.CUSTOMER_000000020@shopsphere.example,9183979752
CUSTOMER_000000021,Avni,Chauhan,avni.chauhan.CUSTOMER_000000021@shopsphere.example,9815066223
CUSTOMER_000000022,Isha,Kapoor,isha.kapoor.CUSTOMER_000000022@shopsphere.example,9428716230
CUSTOMER_000000023,Tanya,Verma,tanya.verma.CUSTOMER_000000023@shopsphere.example,9385394180
CUSTOMER_000000024,Nisha,Rao,nisha.rao.CUSTOMER_000000024@shopsphere.example,9231569083
CUSTOMER_000000025,Arjun,Agarwal,arjun.agarwal.CUSTOMER_000000025@shopsphere.example,9744474124
CUSTOMER_000000026,Ananya,Mishra,ananya.mishra.CUSTOMER_000000026@shopsphere.example,9680115175
CUSTOMER_000000027,Siddharth,Kumar,siddharth.kumar.CUSTOMER_000000027@shopsphere.example,9916100209
CUSTOMER_000000028,Arjun,Kapoor,arjun.kapoor.CUSTOMER_000000028@shopsphere.example,9247097226
CUSTOMER_000000029,Raj,Mukherjee,raj.mukherjee.CUSTOMER_000000029@shopsphere.example,9548075023
CUSTOMER_000000030,Shreya,Kumar,shreya.kumar.CUSTOMER_000000030@shopsphere.example,9133632333
CUSTOMER_000000031,Avni,Chauhan,avni.chauhan.CUSTOMER_000000031@shopsphere.example,9533184175
CUSTOMER_000000032,Diya,Reddy,diya.reddy.CUSTOMER_000000032@shopsphere.example,9652222801
CUSTOMER_000000033,Dev,Roy,dev.roy.CUSTOMER_000000033@shopsphere.example,9623297822
CUSTOMER_000000034,Shreya,Das,shreya.das.CUSTOMER_000000034@shopsphere.example,9891985288
CUSTOMER_000000035,Meera,Malhotra,meera.malhotra.CUSTOMER_000000035@shopsphere.example,9888370949
CUSTOMER_000000036,Diya,Jain,diya.jain.CUSTOMER_000000036@shopsphere.example,9416593228
CUSTOMER_000000037,Karan,Ghosh,karan.ghosh.CUSTOMER_000000037@shopsphere.example,9291352183
CUSTOMER_000000038,Meera,Saxena,meera.saxena.CUSTOMER_000000038@shopsphere.example,9771576159
CUSTOMER_000000039,Shreya,Singh,shreya.singh.CUSTOMER_000000039@shopsphere.example,9613834225
CUSTOMER_000000040,Rohan,Kapoor,rohan.kapoor.CUSTOMER_000000040@shopsphere.example,9478557167
CUSTOMER_000000041,Kabir,Pillai,kabir.pillai.CUSTOMER_000000041@shopsphere.example,9920506347
CUSTOMER_000000042,Siddharth,Das,siddharth.das.CUSTOMER_000000042@shopsphere.example,9905690950
CUSTOMER_000000043,Raj,Verma,raj.verma.CUSTOMER_000000043@shopsphere.example,9360643972
CUSTOMER_000000044,Vihaan,Verma,vihaan.verma.CUSTOMER_000000044@shopsphere.example,9430637019
CUSTOMER_000000045,Mahi,Shah,mahi.shah.CUSTOMER_000000045@shopsphere.example,9641335219
CUSTOMER_000000046,Tanya,Shah,tanya.shah.CUSTOMER_000000046@shopsphere.example,9492373920
CUSTOMER_000000047,Meera,Thakur,meera.thakur.CUSTOMER_000000047@shopsphere.example,9855883072
CUSTOMER_000000048,Raj,Pillai,raj.pillai.CUSTOMER_000000048@shopsphere.example,9836053810
CUSTOMER_000000049,Yash,Deshmukh,yash.deshmukh.CUSTOMER_000000049@shopsphere.example,9936509050
CUSTOMER_000000050,Diya,Thakur,diya.thakur.CUSTOMER_000000050@shopsphere.example,9588219534
CUSTOMER_000000051,Diya,Ghosh,diya.ghosh.CUSTOMER_000000051@shopsphere.example,9150936020
CUSTOMER_000000052,Isha,Nair,isha.nair.CUSTOMER_000000052@shopsphere.example,9596288886
CUSTOMER_000000053,Varun,Gupta,varun.gupta.CUSTOMER_000000053@shopsphere.example,9465512518
CUSTOMER_000000054,Aanya,Banerjee,aanya.banerjee.CUSTOMER_000000054@shopsphere.example,9834898004
CUSTOMER_000000055,Diya,Ghosh,diya.ghosh.CUSTOMER_000000055@shopsphere.example,9359899370
CUSTOMER_000000056,Simran,Reddy,simran.reddy.CUSTOMER_000000056@shopsphere.example,9602199510
CUSTOMER_000000057,Sneha,Verma,sneha.verma.CUSTOMER_000000057@shopsphere.example,9350053106
CUSTOMER_000000058,Vihaan,Agarwal,vihaan.agarwal.CUSTOMER_000000058@shopsphere.example,9740605495
CUSTOMER_000000059,Siddharth,Naidu,siddharth.naidu.CUSTOMER_000000059@shopsphere.example,9356213610
CUSTOMER_000000060,Ishaan,Das,ishaan.das.CUSTOMER_000000060@shopsphere.example,9429952660
CUSTOMER_000000061,Manav,Gupta,manav.gupta.CUSTOMER_000000061@shopsphere.example,9303441457
CUSTOMER_000000062,Neha,Kulkarni,neha.kulkarni.CUSTOMER_000000062@shopsphere.example,9692844179
CUSTOMER_000000063,Arjun,Singh,arjun.singh.CUSTOMER_000000063@shopsphere.example,9910018569
CUSTOMER_000000064,Simran,Gupta,simran.gupta.CUSTOMER_000000064@shopsphere.example,9672760510
CUSTOMER_000000065,Priya,Tiwari,priya.tiwari.CUSTOMER_000000065@shopsphere.example,9624782508
CUSTOMER_000000066,Aditi,Kulkarni,aditi.kulkarni.CUSTOMER_000000066@shopsphere.example,9472616341
